Enlem,Boylam,Mahalle,Adres,Ortalama_Duraklama_Saniye,Toplam_Duraklama_Saniye,Kayit_Sayisi,Farkli_Arac_Sayisi,Yakit_Kaybi_Litre,Maliyet_Kaybi_TL,Verimsizlik_Skoru
40.190342,28.930494,Alaaddinbey Mh.,"Alaaddinbey Mh., Nilüfer, Bursa, Türkiye",15913.958333333334,7256765,456,1,5079.736,228588.12,3.3
40.265035227272726,28.970814500000003,Yenikent Mh.,"Kent Katı Atık Depolama Tesisi, Yenikent Mh., Osmangazi, Bursa, Türkiye",128.45454545454547,2826,22,8,1.978,89.01,3.3
40.273228,28.9545237,Geçit Mh.,"2. Gündoğdu Sk., Geçit Mh., Osmangazi, Bursa, Türkiye",66.8,668,10,8,0.468,21.06,3.2
40.196777,28.938703923076922,Demirci Mh.,"Ahıska Cd., Demirci Mh., Nilüfer, Bursa, Türkiye",7.3076923076923075,95,13,8,0.066,2.97,3.2
40.265295571428574,28.9720865,Yenikent Mh.,"Yenikent Mh., Osmangazi, Bursa, Türkiye",5.571428571428571,78,14,8,0.055,2.48,3.2
40.22096641666666,28.953307416666664,Işıktepe OSB Mh.,"Ata Blv., Işıktepe OSB Mh., Nilüfer, Bursa, Türkiye",7.666666666666667,92,12,8,0.064,2.88,3.2
40.23397966666667,28.969726888888893,Fethiye OSB Mh.,"Ata Blv., Fethiye OSB Mh., Nilüfer, Bursa, Türkiye",6.111111111111111,55,9,8,0.038,1.71,3.2
40.20351594117648,28.95287729411765,Üçevler Mh.,"Ahıska Cd., Üçevler Mh., Nilüfer, Bursa, Türkiye",6.235294117647059,106,17,8,0.074,3.33,3.2
40.233189307692314,28.969122000000002,Fethiye Mh.,"Ata Blv., Fethiye Mh., Nilüfer, Bursa, Türkiye",6.230769230769231,81,13,8,0.057,2.56,3.2
40.22129892307692,28.953899153846155,Işıktepe OSB Mh.,"Ata Blv., Işıktepe OSB Mh., Nilüfer, Bursa, Türkiye",6.6923076923076925,87,13,8,0.061,2.74,3.2
40.26372905263158,28.969098105263157,Yenikent Mh.,"Yenikent Mh., Osmangazi, Bursa, Türkiye",53.0,1007,19,8,0.705,31.72,3.2
40.263810111111106,28.969173777777776,Yenikent Mh.,"Yenikent Mh., Osmangazi, Bursa, Türkiye",6.111111111111111,55,9,8,0.038,1.71,3.2
40.22509625,28.915004083333333,Altınşehir Mh.,"Baz İstasyonu, Özlüce Blv., Altınşehir Mh., Nilüfer, Bursa, Türkiye",7.583333333333333,91,12,8,0.064,2.88,3.2
40.27331641666667,28.970331666666667,Yenikent Mh.,"Yenikent Katı Atık Depolama Alanı Ve Tesisleri, 2. Gündoğdu Sk., Yenikent Mh., Osmangazi, Bursa, Türkiye",21.666666666666668,260,12,8,0.182,8.19,3.2
